PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,prefix,ticket_nember
1,0,3,108,1,22.0,1,0,414,7.25,3,2,0,471
2,1,1,190,0,38.0,1,0,503,71.2833,2,0,0,551
3,1,3,353,0,26.0,0,0,593,7.925,4,2,0,632
4,1,1,272,0,35.0,1,0,361,53.1,2,2,0,423
5,0,3,15,1,35.0,0,0,351,8.05,3,2,0,414
6,0,3,553,1,29.0,0,0,107,8.4583,4,1,0,195
7,0,1,514,1,54.0,0,0,627,51.8625,4,2,0,663
8,0,3,623,1,2.0,3,1,255,21.075,4,2,0,328
9,1,3,411,0,27.0,0,2,193,11.1333,4,2,0,272
10,1,2,575,0,14.0,1,0,301,30.0708,3,0,0,37
11,1,3,726,0,4.0,1,1,528,16.7,6,2,0,574
12,1,1,95,0,58.0,0,0,226,26.55,2,2,0,301
13,0,3,728,1,20.0,0,0,428,8.05,4,2,0,484
14,0,3,28,1,39.0,1,5,180,31.275,3,2,0,260
15,0,3,838,0,14.0,0,0,278,7.8542,4,2,0,349
16,1,2,359,0,55.0,0,0,557,16.0,3,2,0,60
17,0,3,681,1,2.0,4,1,360,29.125,4,1,0,422
18,1,2,865,1,32.0,0,0,534,13.0,3,2,0,58
19,0,3,837,0,31.0,1,0,141,18.0,4,2,0,225
20,1,3,511,0,17.0,0,0,674,7.225,1,0,0,94
21,0,2,273,1,35.0,0,0,379,26.0,4,2,0,44
22,1,2,80,1,34.0,0,0,545,13.0,3,2,0,59
23,1,3,522,0,15.0,0,0,110,8.0292,4,1,0,198
24,1,1,764,1,28.0,0,0,275,35.5,0,2,0,346
25,0,3,625,0,8.0,3,1,255,21.075,5,2,0,328
26,1,3,44,0,38.0,1,5,174,31.3875,3,2,0,255
27,0,3,240,1,27.0,0,0,667,7.225,1,0,0,88
28,0,1,260,1,19.0,3,2,639,263.0,2,2,0,674
29,1,3,604,0,23.0,0,0,118,7.8792,4,1,0,204
30,0,3,811,1,28.0,0,0,215,7.8958,4,2,0,292
31,0,1,826,1,40.0,0,0,505,27.7208,1,0,0,553
32,1,1,775,0,42.0,1,0,491,146.5208,1,0,0,540
33,1,3,289,0,26.0,0,0,123,7.75,4,1,0,209
34,0,2,854,1,66.0,0,0,444,10.5,3,2,0,499
35,0,1,534,1,28.0,1,0,507,82.1708,1,0,0,555
36,0,1,372,1,42.0,1,0,287,52.0,2,2,0,357
37,1,3,504,1,24.0,0,0,19,7.2292,2,0,0,115
38,0,3,134,1,21.0,0,0,403,8.05,4,2,0,461
39,0,3,835,0,18.0,2,0,142,18.0,4,2,0,226
40,1,3,588,0,14.0,1,0,676,11.2417,2,0,0,96
41,0,3,7,0,40.0,1,0,394,9.475,3,2,0,453
42,0,2,825,0,27.0,1,0,410,21.0,4,2,0,468
43,0,3,445,1,24.0,0,0,251,7.8958,4,0,0,324
44,1,2,455,0,3.0,1,2,550,41.5792,2,0,0,594
45,1,3,212,0,19.0,0,0,117,7.8792,3,1,0,203
46,0,3,696,1,28.0,0,0,529,8.05,4,2,0,575
47,0,3,472,1,27.0,1,0,339,15.5,4,1,0,403
48,1,3,603,0,26.0,0,0,616,7.75,4,1,0,653
49,0,3,725,1,12.0,2,0,3,21.6792,4,0,0,100
50,0,3,38,0,18.0,1,0,233,17.8,3,2,0,308
51,0,3,628,1,7.0,4,1,75,39.6875,4,2,0,166
52,0,3,593,1,21.0,0,0,413,7.8,4,2,0,470
53,1,1,333,0,49.0,1,0,492,76.7292,3,0,0,541
54,1,2,246,0,29.0,1,0,63,26.0,4,2,0,155
55,0,1,619,1,65.0,0,1,127,61.9792,1,0,0,212
56,1,1,871,1,43.0,0,0,638,35.5,2,2,0,673
57,1,2,706,0,21.0,0,0,453,10.5,4,2,0,506
58,0,3,594,1,28.5,0,0,34,7.2292,3,0,0,129
59,1,2,851,0,5.0,1,2,461,27.75,4,2,0,513
60,0,3,299,1,11.0,5,2,466,46.9,4,2,0,518
61,0,3,748,1,22.0,0,0,11,7.2292,3,0,0,108
63,0,1,337,1,45.0,1,0,331,83.475,2,2,0,397
64,0,3,754,1,4.0,3,2,184,27.9,4,2,0,264
65,0,1,783,1,44.0,0,0,510,27.7208,1,0,0,558
66,1,3,559,1,22.0,1,1,679,15.2458,3,0,0,99
67,1,2,595,0,29.0,0,0,451,10.5,5,2,0,504
68,0,3,185,1,19.0,0,0,537,8.1583,4,2,0,582
69,1,3,25,0,17.0,4,2,74,7.925,4,2,0,165
70,0,3,439,1,26.0,2,0,100,8.6625,4,2,0,189
71,0,2,395,1,32.0,0,0,455,10.5,4,2,0,508
72,0,3,300,0,16.0,5,2,466,46.9,4,2,0,518
73,0,2,376,1,21.0,0,0,535,73.5,3,2,0,580
74,0,3,161,1,26.0,1,0,21,14.4542,3,0,0,117
75,1,3,87,1,32.0,0,0,620,56.4958,4,2,0,657
76,0,3,545,1,25.0,0,0,196,7.65,5,2,0,275
77,0,3,777,1,28.0,0,0,206,7.8958,4,2,0,284
78,0,3,562,1,28.0,0,0,352,8.05,4,2,0,415
79,1,2,127,1,0.83,0,2,612,29.0,4,2,0,65
80,1,3,223,0,30.0,0,0,302,12.475,4,2,0,370
81,0,3,840,1,22.0,0,0,144,9.0,4,2,0,228
82,1,3,736,1,29.0,0,0,153,9.5,4,2,0,236
83,1,3,518,0,24.0,0,0,114,7.7875,4,1,0,200
84,0,1,141,1,28.0,0,0,77,47.1,2,2,0,168
85,1,2,385,0,17.0,0,0,553,10.5,4,2,0,597
86,1,3,52,0,33.0,3,0,73,15.85,3,2,0,164
87,0,3,255,1,16.0,1,3,602,34.375,3,2,0,640
88,0,3,763,1,28.0,0,0,573,8.05,3,2,0,614
89,1,1,259,0,23.0,3,2,639,263.0,2,2,0,674
90,0,3,149,1,24.0,0,0,134,8.05,4,2,0,219
91,0,3,159,1,29.0,0,0,136,8.05,4,2,0,220
92,0,3,31,1,20.0,0,0,189,7.8542,3,2,0,269
93,0,1,150,1,46.0,1,0,604,61.175,4,2,0,642
94,0,3,209,1,26.0,1,2,443,20.575,4,2,0,498
95,0,3,184,1,59.0,0,0,296,7.25,3,2,0,365
96,0,3,739,1,28.0,0,0,354,8.05,4,2,0,417
97,0,1,292,1,71.0,0,0,517,34.6542,0,0,0,564
98,1,1,308,1,23.0,0,1,524,63.3583,3,0,0,570
99,1,2,219,0,34.0,0,1,113,23.0,4,2,0,20
100,0,2,421,1,34.0,1,0,512,26.0,4,2,0,56
101,0,3,655,0,28.0,0,0,242,7.8958,4,2,0,316
102,0,3,657,1,28.0,0,0,214,7.8958,4,2,0,291
103,0,1,856,1,21.0,0,1,283,77.2875,3,2,0,353
104,0,3,404,1,33.0,0,0,392,8.6542,4,2,0,451
105,0,3,312,1,37.0,2,0,71,7.925,4,2,0,162
106,0,3,541,1,28.0,0,0,205,7.8958,4,2,0,283
107,1,3,723,0,21.0,0,0,133,7.65,4,2,0,218
108,1,3,558,1,28.0,0,0,82,7.775,4,2,0,172
109,0,3,674,1,38.0,0,0,247,7.8958,4,2,0,320
110,1,3,551,0,27.0,1,0,347,24.15,4,1,0,410
111,0,1,666,1,47.0,0,0,16,52.0,2,2,0,112
112,0,3,880,0,14.5,1,0,7,14.4542,4,0,0,104
113,0,3,67,1,22.0,0,0,106,8.05,4,2,0,194
114,0,3,416,0,20.0,1,0,374,9.825,4,2,0,435
115,0,3,46,0,17.0,0,0,664,14.4583,2,0,0,85
116,0,3,644,1,21.0,0,0,589,7.925,3,2,0,629
117,0,3,178,1,70.5,0,0,336,7.75,3,1,0,400
118,0,2,824,1,29.0,1,0,410,21.0,4,2,0,468
119,0,1,70,1,24.0,0,1,489,247.5208,1,0,0,539
120,0,3,24,0,2.0,4,2,180,31.275,4,2,0,260
121,0,2,362,1,21.0,2,0,535,73.5,3,2,0,580
122,0,3,550,1,28.0,0,0,433,8.05,4,2,0,489
123,0,2,574,1,32.5,1,0,301,30.0708,3,0,0,37
124,1,2,846,0,32.5,0,0,39,13.0,4,2,0,133
125,0,1,855,1,54.0,0,1,283,77.2875,3,2,0,353
126,1,3,587,1,12.0,1,0,676,11.2417,2,0,0,96
127,0,3,524,1,36.0,0,0,340,7.75,4,1,0,404
128,1,3,498,1,24.0,0,0,436,7.1417,3,2,0,491
129,1,3,652,0,18.0,1,1,10,22.3583,5,0,0,107
130,0,3,234,1,45.0,0,0,161,6.975,3,2,0,243
131,0,3,225,1,33.0,0,0,237,7.8958,3,0,0,311
132,0,3,165,1,20.0,0,0,558,7.05,3,2,0,600
133,0,3,694,0,47.0,1,0,430,14.5,5,2,0,486
134,1,2,849,0,29.0,1,0,46,26.0,3,2,0,14
135,0,2,771,1,25.0,0,0,450,13.0,4,2,0,503
136,0,2,684,1,23.0,0,0,544,15.0458,3,0,0,589
137,1,1,584,0,19.0,0,2,435,26.2833,3,2,0,490
138,0,1,271,1,37.0,1,0,361,53.1,2,2,0,423
139,0,3,617,1,16.0,0,0,391,9.2167,4,2,0,450
140,0,1,282,1,24.0,0,0,498,79.2,1,0,0,547
141,0,3,99,0,21.0,0,2,20,15.2458,3,0,0,116
142,1,3,596,0,22.0,0,0,178,7.75,4,2,0,259
143,1,3,319,0,24.0,1,0,592,15.85,4,2,0,631
144,0,3,116,1,19.0,0,0,308,6.75,3,1,0,376
145,0,2,32,1,18.0,0,0,124,11.5,3,2,0,21
146,0,2,585,1,19.0,1,1,456,36.75,4,2,0,509
147,1,3,29,1,27.0,0,0,269,7.7958,3,2,0,340
148,0,3,254,0,9.0,2,2,602,34.375,3,2,0,640
149,0,2,579,1,36.5,0,2,68,26.0,5,2,0,16
150,0,2,121,1,42.0,0,0,479,13.0,4,2,0,53
151,0,2,68,1,51.0,0,0,536,12.525,3,2,0,581
152,1,1,642,0,22.0,1,0,200,66.6,2,2,0,279
153,0,3,531,1,55.5,0,0,405,8.05,4,2,0,463
154,0,3,887,1,40.5,0,2,431,14.5,5,2,0,487
155,0,3,611,1,29.0,0,0,475,7.3125,3,2,0,526
156,0,1,864,1,51.0,0,1,502,61.3792,2,0,0,550
157,1,3,287,0,16.0,0,0,284,7.7333,4,1,0,354
158,0,3,181,1,30.0,0,0,575,8.05,4,2,0,616
159,0,3,766,1,28.0,0,0,86,8.6625,3,2,0,176
160,0,3,715,1,15.0,8,2,469,69.55,4,2,0,520
161,0,3,186,1,44.0,0,1,348,16.1,5,2,0,411
162,1,2,845,0,40.0,0,0,458,15.75,4,2,0,510
163,0,3,82,1,26.0,0,0,167,7.775,4,2,0,249
164,0,3,129,1,17.0,0,0,95,8.6625,4,2,0,184
165,0,3,627,1,1.0,4,1,75,39.6875,4,2,0,166
166,1,3,293,1,9.0,0,2,291,20.525,5,2,0,360
167,1,1,157,0,32.0,0,1,115,55.0,4,2,0,201
168,0,3,759,0,45.0,1,4,184,27.9,4,2,0,264
169,0,1,69,1,44.0,0,0,478,25.925,2,2,0,529
170,0,3,485,1,28.0,0,0,620,56.4958,4,2,0,657
171,0,1,830,1,61.0,0,0,385,33.5,1,2,0,445
172,0,3,679,1,4.0,4,1,360,29.125,4,1,0,422
173,1,3,407,0,1.0,1,1,193,11.1333,5,2,0,272
174,0,3,751,1,21.0,0,0,581,7.925,3,2,0,621
175,0,1,768,1,56.0,0,0,632,30.6958,0,0,0,668
176,0,3,443,1,18.0,1,1,277,7.8542,4,2,0,348
177,0,3,463,1,6.0,3,1,370,25.4667,4,2,0,431
178,0,1,387,0,50.0,0,0,499,28.7125,2,0,0,548
179,0,2,320,1,30.0,0,0,655,13.0,3,2,0,77
180,0,3,473,1,36.0,0,0,476,0.0,3,2,0,527
181,0,3,716,0,16.0,8,2,469,69.55,4,2,0,520
182,0,2,649,1,30.0,0,0,543,15.05,2,0,0,588
183,0,3,41,1,9.0,4,2,174,31.3875,3,2,0,255
184,1,2,76,1,1.0,2,1,79,39.0,5,2,0,17
185,1,3,440,0,4.0,0,2,103,22.025,5,2,0,191
186,0,1,699,1,40.0,0,0,176,50.0,0,2,0,257
187,1,3,600,0,26.0,1,0,333,15.5,4,1,0,399
188,1,1,697,1,45.0,0,0,35,26.55,1,2,0,13
189,0,3,101,1,40.0,1,1,305,15.5,4,1,0,373
190,0,3,821,1,36.0,0,0,244,7.8958,4,2,0,318
191,1,2,663,0,32.0,0,0,179,13.0,4,2,0,26
192,0,2,136,1,19.0,0,0,49,13.0,4,2,0,142
193,1,3,20,0,19.0,1,0,270,7.8542,3,2,0,341
194,1,2,578,1,3.0,1,1,68,26.0,5,2,0,16
195,1,1,113,0,44.0,0,0,514,27.7208,1,0,0,561
196,1,1,494,0,58.0,0,0,491,146.5208,1,0,0,540
197,0,3,532,1,36.0,0,0,326,7.75,4,1,0,392
198,0,3,610,1,42.0,0,1,377,8.4042,4,2,0,438
199,1,3,496,0,26.0,0,0,338,7.75,4,1,0,402
200,0,2,879,0,24.0,0,0,634,13.0,3,2,0,67
201,0,3,832,1,28.0,0,0,147,9.5,4,2,0,230
202,0,3,720,1,15.0,8,2,469,69.55,4,2,0,520
203,0,3,402,1,34.0,0,0,67,6.4958,3,2,0,159
